"","tracking_event","Date_Time","Latitude","Longitude","BirdId","trip_id"
"179","280136_1",2019-01-09 22:59:42,13.9972644690817,-24.5526111468885,"280136","280136_1"
"180","280136_1",2019-01-10 00:59:42,14.1360282112178,-24.8067361414927,"280136","280136_1"
"181","280136_1",2019-01-10 02:59:42,14.173311974902,-24.9610025818433,"280136","280136_1"
"182","280136_1",2019-01-10 04:59:42,14.2160731683042,-24.9498097298241,"280136","280136_1"
"183","280136_1",2019-01-10 06:59:42,14.2842487759983,-25.0225173564375,"280136","280136_1"
"184","280136_1",2019-01-10 08:59:42,14.2936695139924,-24.9979901192672,"280136","280136_1"
"185","280136_1",2019-01-10 10:59:42,14.2660655143484,-24.9407808486628,"280136","280136_1"
"186","280136_1",2019-01-10 16:59:46,14.1758020926478,-24.7035234895185,"280136","280136_1"
"187","280136_1",2019-01-10 18:59:46,14.3286013823192,-24.6603679973746,"280136","280136_1"
"188","280136_1",2019-01-10 20:59:46,14.4598708808884,-24.5641376976234,"280136","280136_1"
"189","280136_1",2019-01-10 22:59:46,14.5780607863605,-24.5750232342295,"280136","280136_1"
"190","280136_1",2019-01-11 00:59:46,14.380836718097,-24.4360226537253,"280136","280136_1"
"191","280136_1",2019-01-11 02:59:46,14.1897962784303,-24.306927959546,"280136","280136_1"
"192","280136_1",2019-01-11 04:59:46,14.0825977753433,-24.1771990450038,"280136","280136_1"
"193","280136_1",2019-01-11 06:59:46,13.8878095395983,-24.099541387727,"280136","280136_1"
"194","280136_1",2019-01-11 08:59:46,13.684290148456,-24.0675142161605,"280136","280136_1"
"195","280136_1",2019-01-11 10:59:46,13.6084230542717,-24.0782500141324,"280136","280136_1"
"196","280136_1",2019-01-11 12:59:46,13.7628306692561,-24.3592688778975,"280136","280136_1"
"197","280136_1",2019-01-11 14:59:46,13.8406240083933,-24.493539314949,"280136","280136_1"
"198","280136_1",2019-01-11 16:59:46,13.9413060121941,-24.5599463915832,"280136","280136_1"
"199","280136_1",2019-01-11 18:59:46,14.1643735189698,-24.6376715944198,"280136","280136_1"
"200","280136_1",2019-01-11 20:59:46,14.4853797176686,-24.6276536981409,"280136","280136_1"
"201","280136_1",2019-01-11 22:59:46,14.7806804893575,-24.5018197694173,"280136","280136_1"
